iteration,solved,remaining,budget,total_expanded,elapsed_seconds
1, 842, 158, 2000, 562923, 352.718094 
2, 125, 33, 2000, 686903, 428.685070 
3, 9, 24, 2000, 746181, 465.333329 
4, 2, 22, 2000, 792496, 493.335865 
5, 0, 22, 2000, 836496, 519.550240 
5, 7, 15, 4000, 913949, 565.691276 
6, 2, 13, 4000, 970334, 599.025744 
7, 0, 13, 4000, 1022334, 629.405638 
7, 8, 5, 8000, 1087717, 667.539911 
8, 0, 5, 8000, 1127717, 690.608726 
8, 3, 2, 16000, 1192939, 728.183903 
9, 0, 2, 16000, 1224939, 746.267557 
9, 2, 0, 32000, 1274392, 773.242963 
